X_mm,Y_mm,Timestamp
1603,3715,1771516252.3095484
1504,3590,1771516252.3095484
1481,3696,1771516252.3571272
1485,1717,1771516252.402103
1489,1270,1771516252.4512808
1506,989,1771516252.4993253
1476,3713,1771516252.5658
1495,1175,1771516252.6137488
1485,1184,1771516252.6616814
1491,1267,1771516252.7130437
1492,1427,1771516252.7627306
1500,1054,1771516252.8122108
1480,2823,1771516252.870597
1480,1073,1771516252.919596
1489,3693,1771516252.9816449
1499,1343,1771516253.0296686
1486,1129,1771516253.0823677
1501,786,1771516253.1263394
1497,1324,1771516253.1789463
1493,1893,1771516253.233105
1495,3699,1771516253.2928941
1502,1233,1771516253.3396883
1494,823,1771516253.3877306
1489,677,1771516253.4367337
1483,3704,1771516253.5041482
1493,3163,1771516253.562147
1502,1342,1771516253.612511
1486,817,1771516253.6578977
1500,1595,1771516253.7112012
1502,822,1771516253.7560604
1480,1707,1771516253.8204548
1489,1879,1771516253.8648086
1495,3495,1771516253.923086
1489,2832,1771516253.9784937
1493,1431,1771516254.0290124
1489,1647,1771516254.0789928
1491,1278,1771516254.1305947
1499,3376,1771516254.1950455
1489,2781,1771516254.2460399
1499,1162,1771516254.292542
1485,2748,1771516254.3503904
1486,1083,1771516254.3962243
1486,1057,1771516254.4451158
1482,1253,1771516254.5015318
1475,2567,1771516254.5553186
1481,2577,1771516254.6089845
1481,1467,1771516254.6650026
1485,2064,1771516254.7126853
1481,1690,1771516254.7643147
1491,1668,1771516254.8115647
1485,1606,1771516254.8610187
1493,1667,1771516254.9122171
1604,1516,1771516254.9607925
1476,1860,1771516255.015886
1485,2050,1771516255.0644655
1477,1516,1771516255.1121984
1609,1302,1771516255.161962
1479,1706,1771516255.2120574
1481,1648,1771516255.261273
1478,1515,1771516255.3127747
1482,1593,1771516255.361023
1472,1539,1771516255.4102802
1469,1450,1771516255.459933
1473,1613,1771516255.5107062
1477,1725,1771516255.5653698
1463,2011,1771516255.6122236
1499,1517,1771516255.662693
1477,1657,1771516255.712287
1463,1553,1771516255.761167
1456,1591,1771516255.8143969
1477,1345,1771516255.8600895
1455,1305,1771516255.9168167
1475,1272,1771516255.960156
1465,1421,1771516256.0137193
1468,1834,1771516256.0637603
1473,1686,1771516256.1137156
1460,1569,1771516256.1627636
1485,1434,1771516256.2121942
1469,2084,1771516256.2658362
1474,1015,1771516256.3112657
1459,1219,1771516256.3638282
1465,1421,1771516256.4165783
1460,1761,1771516256.4673948
1474,1625,1771516256.513442
1477,1891,1771516256.56537
1477,2087,1771516256.622652
1472,3706,1771516256.6783063
1468,1938,1771516256.7279859
1478,2035,1771516256.7804096
1460,2151,1771516256.831324
1465,1420,1771516256.8795393
1472,1258,1771516256.9307616
1477,1210,1771516256.9806862
1481,1582,1771516257.0307815
1456,2036,1771516257.0819778
1463,1187,1771516257.1370332
1459,1436,1771516257.180531
1459,1177,1771516257.2297077
1488,1370,1771516257.2798896
1469,1697,1771516257.3374403
1463,463,1771516257.382382
1460,1772,1771516257.4293506
1472,1366,1771516257.47974
1472,1524,1771516257.533836
1465,3671,1771516257.5919917
1459,909,1771516257.650113
354,652,1771516257.6980476
1469,2615,1771516257.7479453
349,3008,1771516257.797396
1459,949,1771516257.8462129
1465,1400,1771516257.8951018
1460,932,1771516257.9462218
360,412,1771516257.9944332
362,404,1771516258.0457137
384,424,1771516258.1050131
1498,458,1771516258.163997
1474,467,1771516258.2088294
1469,477,1771516258.26129
1478,3710,1771516258.3161952
1468,2542,1771516258.3606277
1474,2057,1771516258.4129763
1481,1479,1771516258.4606695
463,2461,1771516258.5156767
1498,1877,1771516258.5640879
1468,2788,1771516258.6188357
1465,3125,1771516258.679574
1491,1339,1771516258.7245922
1469,1723,1771516258.7767076
1469,1736,1771516258.8277261
1473,2152,1771516258.8785014
1477,1763,1771516258.935236
1468,3712,1771516258.9950254
1476,2867,1771516259.0454435
1482,1727,1771516259.1004963
440,3690,1771516259.1627312
1465,428,1771516259.2171853
1458,421,1771516259.2644088
1463,383,1771516259.3461928
1466,381,1771516259.4616868
1467,359,1771516259.5121305
1473,349,1771516259.572896
1474,362,1771516259.6304722
277,310,1771516259.7667785
268,315,1771516259.8278115
1488,301,1771516259.879599
270,296,1771516259.9296465
247,291,1771516259.9787972
229,3598,1771516260.0371246
232,2925,1771516260.0837219
237,296,1771516260.1416426
907,297,1771516260.1985087
1467,341,1771516260.2437322
974,3701,1771516260.291275
294,2604,1771516260.3383973
335,3647,1771516260.3953402
1473,405,1771516260.4443462
1462,1804,1771516260.494796
1455,2006,1771516260.551569
1473,1615,1771516260.5993567
1481,3520,1771516260.6577487
1459,2538,1771516260.715041
1465,1808,1771516260.7617643
1476,1690,1771516260.8112118
1463,1416,1771516260.8631856
1463,1539,1771516260.9127462
1456,1533,1771516260.9622498
1456,1516,1771516261.0120142
1459,1566,1771516261.0600262
1455,1621,1771516261.1127148
1465,1543,1771516261.1637447
1464,1442,1771516261.2165563
1453,1426,1771516261.2629452
1465,1740,1771516261.3128197
1456,1794,1771516261.361749
1478,1767,1771516261.4153373
1464,1650,1771516261.4620824
1476,1297,1771516261.5106244
1468,1791,1771516261.5612242
1461,1789,1771516261.6136847
1478,2105,1771516261.6636696
1486,1765,1771516261.7156253
1469,1468,1771516261.7652338
1503,1846,1771516261.8150413
1472,1719,1771516261.8647397
1485,2065,1771516261.9198995
1471,1118,1771516261.9620917
1480,1192,1771516262.0116856
1489,1540,1771516262.0645823
1477,1074,1771516262.1116166
484,1884,1771516262.1632164
1471,1366,1771516262.2150843
1483,1293,1771516262.266089
1483,1351,1771516262.3143685
1599,1035,1771516262.3615718
1470,1764,1771516262.4151769
1489,1619,1771516262.464676
1481,1304,1771516262.5140972
1473,1223,1771516262.565731
1477,1221,1771516262.6161516
1468,3888,1771516262.6761518
1468,2122,1771516262.728496
1467,1804,1771516262.7791839
1473,686,1771516262.826265
1485,884,1771516262.8816135
1474,958,1771516262.929457
1469,1599,1771516262.9823763
1472,764,1771516263.1530187
1475,694,1771516263.2579796
1482,964,1771516263.3112674
1475,1189,1771516263.3613458
1467,866,1771516263.4119859
1476,910,1771516263.460622
1466,912,1771516263.5120075
1475,919,1771516263.5687537
1469,942,1771516263.6120882
1464,840,1771516263.6612523
1497,977,1771516263.7141774
1466,833,1771516263.7591772
1469,976,1771516263.8136861
1459,960,1771516263.8620226
1459,934,1771516263.9107509
1453,1026,1771516263.9607003
1459,877,1771516264.0102832
1458,902,1771516264.0650227
1457,991,1771516264.1097383
1479,982,1771516264.1625896
1460,970,1771516264.2118254
1463,1040,1771516264.266379
1458,1000,1771516264.3147538
